"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(520,""000"")","WESTERN MD 4-H BATH HOUSE 2","7","1,190","260","882","74",,,,"1997",,,"$309,656","$0","1994","25","0.25","$77,414","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"882.26",,,,,,"882.26","882",,,"162.5",,"162.5","1044.76","88"
"=TEXT(521,""000"")","WESTERN MD 4-H OFFICE","7","680","260","612","90",,,,"1957",,,"$176,946","$0","1994","73","0.73","$129,171","$0","UM","1",,,,,"612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"612","612",,,,,,"612","90"
"=TEXT(522,""000"")","WESTERN MD 4-H MAINTENANCE SHOP","7","576","273","576","100",,,,"1934",,,"$157,021","$0","1994","73","0.73","$114,625","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"576",,,,,,,,,,,,,"576","576",,,,,,"576","100"
"=TEXT(523,""000"")","WESTERN MD 4-H INFIRMARY","7","748","260","614","82",,,,"1996",,,"$194,641","$0","1994","25","0.25","$48,660","$0","UM","1",,,,,"614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"614","614",,,,,,"614","82"
"=TEXT(524,""000"")","WESTERN MD 4-H STORAGE","7","551","112","524","95",,,,"1996",,,"$61,448","$0","1994","25","0.25","$15,362","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"524",,,,,,,,,,,,"524","524",,,,,,"524","95"
"=TEXT(525,""000"")","WESTERN MD 4-H PUBLIC SWIMMING CHANGING HOUSE","7","615","260","615","100",,,,"1934",,,"$160,032","$0","1994","73","0.73","$116,823","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,"615",,,,,,,,,,,,,,,,"615","615",,,,,,"615","100"
"=TEXT(526,""000"")","WESTERN MD 4-H NATURE CENTER","7","1,295","446","1,218","94",,,,"1998",,,"$577,677","$0","1994","25","0.25","$144,419","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,"1217.52",,,,,,,,,,,,,,,"1217.52","1,218",,,,,,"1217.52","94"
"=TEXT(527,""000"")","WESTERN MD 4-H PUMP HOUSE","7","0","273","0","0",,,,"1996",,,"$52,340","$0","1994","25","0.25","$13,085","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"196",,"196","196","19600"
"=TEXT(570,""000"")","POPLAR HILL OFFICE & SHOP","7","3,729","112","3,269","88",,,,"1972",,,"$415,860","$0","1994","73","0.73","$303,578","$0","UM","1",,,,"251.31","199.22",,,,,,,,,,,,,,,,,,,,,,"2506.49",,,,,,,,"312.07","312.07",,,,"3269.09","3,269",,,"56.01",,"56.01","3325.1","89"
"=TEXT(571,""000"")","POPLAR HILL EQUIPMENT STORAGE 1","7","5,100","112","5,100","100",,,,"1976","1985",,"$568,755","$0","1994","73","0.73","$415,191","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5100",,,,,,,,,,,,"5100","5,100",,,,,,"5100","100"
"=TEXT(572,""000"")","POPLAR HILL AG CHEMICAL STORAGE","7","1,260","112","1,177","93",,,,"1996",,,"$140,516","$0","1994","25","0.25","$35,129","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1177.03",,,,,,,,,,,,"1177.03","1,177",,,,,,"1177.03","93"
"=TEXT(573,""000"")","POPLAR HILL EQUIPMENT STORAGE 2","7","2,400","112","2,301","96",,,,"1996",,,"$267,649","$0","1994","25","0.25","$66,912","$0","UM","1",,,,,,,,,,,,,,,"2301",,,,,,,,,,,,,,,,,,,,,,,,,"2301","2,301",,,,,,"2301","96"
"=TEXT(574,""000"")","POPLAR HILL WATER TREATMENT","7","92","112","0","0",,,,"2000",,,"$10,260","$0","1994","25","0.25","$2,565","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"92",,"92","92","100"
"=TEXT(576,""000"")","POPLAR HILL COMPOST STORAGE 1","7","1,920","112","1,872","98",,,,"2000",,,"$214,120","$0","1994","25","0.25","$53,530","$0","UM","1",,,,,,,,,,,,,,,"1872",,,,,,,,,,,,,,,,,,,,,,,,,"1872","1,872",,,,,,"1872","98"
"=TEXT(577,""000"")","POPLAR HILL COMPOST STORAGE 2","7","1,920","112","1,853","96",,,,"2000",,,"$214,120","$0","1994","25","0.25","$53,530","$0","UM","1",,,,,,,,,,,,,,,"1852.5",,,,,,,,,,,,,,,,,,,,,,,,,"1852.5","1,853",,,,,,"1852.5","96"
"=TEXT(590,""000"")","LOWER EASTERN SHORE OFFICE","7","3,437","446","2,611","76",,,,"1991",,,"$1,533,185","$0","1994","50","0.5","$766,593","$0","UM","1",,,,"991.78","1619.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2611.11","2,611","22.93","166.73","250.84",,"440.5","3051.61","89"
"=TEXT(596,""000"")","SALISBURY HEADHOUSE","7","2,506","112","2,313","92",,,,"1972","1983",,"$279,471","$0","1994","73","0.73","$204,014","$0","UM","1",,,,,,,,,,,,,,,"2312.89",,,,,,,,,,,,,,,,,,,,,,,,,"2312.89","2,313",,,,,,"2312.89","92"
"=TEXT(597,""000"")","SALISBURY GREENHOUSE 1","7","1,300","112","1,262","97",,,,"1969",,,"$144,977","$0","1994","73","0.73","$105,833","$0","UM","1",,,,,,,,,,,,,,,,,"1262.25",,,,,,,,,,,,,,,,,,,,,,,"1262.25","1,262",,,,,,"1262.25","97"
"=TEXT(598,""000"")","SALISBURY GREENHOUSE 2","7","1,300","112","1,262","97",,,,"1970",,,"$144,977","$0","1994","73","0.73","$105,833","$0","UM","1",,,,,,,,,,,,,,,,,"1262.25",,,,,,,,,,,,,,,,,,,,,,,"1262.25","1,262",,,,,,"1262.25","97"
"=TEXT(601,""000"")","LOWER EASTERN SHORE OFFICE ANNEX","7","1,942","446","1,364","70",,,,"1952","1998",,"$866,292","$0","1994","25","0.25","$216,573","$0","UM","1",,,,"272.06","1091.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1363.58","1,364",,"156.11","184.4",,"340.51","1704.09","88"
"=TEXT(603,""000"")","SALIBURY POST HARVEST","7","5,289","273","4,628","87",,,,"1952","1991",,"$1,441,813","$0","1994","50","0.5","$720,906","$0","UM","1",,,,"1762.36",,,,,,,,,,,,,,,,,,,,,,,,"2865.51",,,,,,,,,,,,"4627.87","4,628",,,"109.46",,"109.46","4737.33","90"
"=TEXT(605,""000"")","SALISBURY EQUIP MAINTENANCE","7","5,200","273","5,023","97",,,,"1992",,,"$1,417,551","$0","1994","50","0.5","$708,775","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1633.33",,"3389.17",,,,,,,,,,,"5022.5","5,023",,,,,,"5022.5","97"
"=TEXT(606,""000"")","SALISBURY EQUIPMENT STORAGE 3","7","2,400","112","2,400","100",,,,"1992",,,"$267,649","$0","1994","50","0.5","$133,825","$0","UM","1",,,,,,,,,,,,,,,"2400",,,,,,,,,,,,,,,,,,,,,,,,,"2400","2,400",,,,,,"2400","100"
"=TEXT(607,""000"")","SALISBURY SUPPORT","7","2,238","112","1,398","62",,,,"1950",,,"$249,583","$0","1994","73","0.73","$182,196","$0","UM","1",,,,,"1398.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1398.35","1,398",,,"623.58",,"623.58","2021.93","90"
"=TEXT(608,""000"")","SALISBURY AG CHEMICAL STORAGE","7","2,395","112","2,237","93",,,,"1991",,,"$267,092","$0","1994","50","0.5","$133,546","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2237.2",,,,,,,,,,,,"2237.2","2,237",,,,,,"2237.2","93"
"=TEXT(609,""000"")","SALISBURY RVR","7","392","112","392","100",,,,"1991",,,"$43,716","$0","1994","50","0.5","$21,858","$0","UM","1",,,,,,,,,,,,,,,"392",,,,,,,,,,,,,,,,,,,,,,,,,"392","392",,,,,,"392","100"
"=TEXT(611,""000"")","SALISBURY EQUIPMENT STORAGE 2","7","8,000","112","8,000","100",,,,"1969",,,"$892,165","$0","1994","73","0.73","$651,280","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8000",,,,,,,,,,,,"8000","8,000",,,,,,"8000","100"
"=TEXT(612,""000"")","SALISBURY GARAGE","7","2,400","81","2,204","92",,,,"2018",,,"$193,302","$0","1994","0","0","$0","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1009.47",,"1194.75",,,,,,,,,,,"2204.22","2,204",,,,,,"2204.22","92"
"=TEXT(614,""000"")","SALISBURY EQUIPMENT STORAGE 1","7","1,860","112","1,860","100",,,,"1960",,,"$207,428","$0","1994","73","0.73","$151,423","$0","UM","1",,,,,,,,,,,,,,,"1860",,,,,,,,,,,,,,,,,,,,,,,,,"1860","1,860",,,,,,"1860","100"
"=TEXT(620,""000"")","SALISBURY GREENHOUSE 3","7","1,300","112","1,262","97",,,,"1970",,,"$144,977","$0","1994","73","0.73","$105,833","$0","UM","1",,,,,,,,,,,,,,,,,"1262.25",,,,,,,,,,,,,,,,,,,,,,,"1262.25","1,262",,,,,,"1262.25","97"
"=TEXT(621,""000"")","CLARKSVILLE EQUIP MAINTENANCE","7","6,000","273","5,846","97",,,,"1990",,,"$1,635,636","$0","1994","73","0.73","$1,194,014","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1920.09",,"3926.11",,,,,,,,,,,"5846.2","5,846",,,,,,"5846.2","97"
"=TEXT(622,""000"")","CLARKSVILLE EQUIPMENT STORAGE","7","5,024","112","4,634","92",,,,"1990",,,"$560,280","$0","1994","73","0.73","$409,004","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4633.53",,,,,,,,,,,"4633.53","4,634",,,"35.74",,"35.74","4669.27","93"
"=TEXT(623,""000"")","CLARKSVILLE HEIFER BARN 1","7","5,316","112","4,223","79",,,,"1990",,,"$592,844","$0","1994","73","0.73","$432,776","$0","UM","1",,,,,,,,,,,,,,,"963.57","3259.34",,,,,,,,,,,,,,,,,,,,,,,,"4222.91","4,223",,,,,,"4222.91","79"
"=TEXT(624,""000"")","CLARKSVILLE HEIFER BARN 2","7","3,840","112","3,490","91",,,,"1990",,,"$428,239","$0","1994","73","0.73","$312,615","$0","UM","1",,,,,,,,,,,,,,,,"3490.03",,,,,,,,,,,,,,,,,,,,,,,,"3490.03","3,490",,,,,,"3490.03","91"
"=TEXT(625,""000"")","CLARKSVILLE HEIFER BARN 3","7","1,280","112","1,038","81",,,,"1990",,,"$142,746","$0","1994","73","0.73","$104,205","$0","UM","1",,,,,,,,,,,,,,,,"1037.63",,,,,,,,,,,,,,,,,,,,,,,,"1037.63","1,038",,,,,,"1037.63","81"
"=TEXT(626,""000"")","CLARKSVILLE HAY & BEDDING STORAGE","7","3,185","112","3,047","96",,,,"1990",,,"$355,193","$0","1994","73","0.73","$259,291","$0","UM","1",,,,,,,,,,,,,,,"3046.58",,,,,,,,,,,,,,,,,,,,,,,,,"3046.58","3,047",,,,,,"3046.58","96"
"=TEXT(627,""000"")","CLARKSVILLE COMMODITY STORAGE","7","2,642","112","2,462","93",,,,"2019",,,"$295,904","$0","1994","73","0.73","$216,010","$0","UM","1",,,,,,,,,,,,,,,"2461.8",,,,,,,,,,,,,,,,,,,,,,,,,"2461.8","2,462",,,,,,"2461.8","93"
"=TEXT(628,""000"")","CLARKSVILLE FEED HANDLING","7","2,985","217","2,760","92",,,,"1993","1997",,"$647,284","$0","1994","25","0.25","$161,821","$0","UM","1",,,,,,,,,,,,,,,"2710.56","49",,,,,,,,,,,,,,,,,,,,,,,,"2759.56","2,760",,,,,,"2759.56","92"
"=TEXT(629,""000"")","CLARKSVILLE MILKING CENTER","7","5,962","217","5,445","91",,,,"1993",,,"$1,292,834","$0","1994","50","0.5","$646,417","$0","UM","1",,,,,"195.93",,,,,,,,,,,"5249.23",,,,,,,,,,,,,,,,,,,,,,,,"5445.16","5,445",,,,,,"5445.16","91"
"=TEXT(630,""000"")","CLARKSVILLE FREESTALL BARN","7","9,569","112","9,328","97",,,,"1993",,,"$1,067,141","$0","1994","50","0.5","$533,570","$0","UM","1",,,,,,,,,,,,,,,,"9328.1",,,,,,,,,,,,,,,,,,,,,,,,"9328.1","9,328",,,,,,"9328.1","97"
"=TEXT(631,""000"")","CLARKSVILLE TIESTALL BARN","7","6,480","112","6,095","94",,,,"1993",,,"$722,654","$0","1994","50","0.5","$361,327","$0","UM","1",,,,,,,,,,,,,,,,"6095",,,,,,,,,,,,,,,,,,,,,,,,"6095","6,095",,,,,,"6095","94"
"=TEXT(632,""000"")","CLARKSVILLE DAIRY RESEARCH BARN","7","5,890","112","5,619","95",,,,"1997",,,"$656,856","$0","1994","25","0.25","$164,214","$0","UM","1",,,,"161",,,,,,,,,,,,"5457.84",,,,,,,,,,,,,,,,,,,,,,,,"5618.84","5,619",,,,,,"5618.84","95"
"=TEXT(633,""000"")","CLARKSVILLE HAY BARN","7","2,559","106","2,428","95",,,,"2016",,,"$271,636","$0","1994","0","0","$0","$0","UM","1",,,,,,,,,,,,,,,"2428.25",,,,,,,,,,,,,,,,,,,,,,,,,"2428.25","2,428",,,,,,"2428.25","95"
"=TEXT(647,""000"")","CLARKSVILLE SPRING HOUSE","7","68","112","0","0",,,,"1955",,,"$7,583","$0","1994","73","0.73","$5,536","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"68",,"68","68","100"
"=TEXT(656,""000"")","CLARKSVILLE YOUNGSTOCK SHED","7","1,267","112","1,267","100",,,,"1950",,,"$141,297","$0","1994","73","0.73","$103,147","$0","UM","1",,,,,,,,,,,,,,,"1267",,,,,,,,,,,,,,,,,,,,,,,,,"1267","1,267",,,,,,"1267","100"
"=TEXT(657,""000"")","CLARKSVILLE PUMP HOUSE 5","7","256","273","0","0",,,,"1991",,,"$69,787","$0","1994","50","0.5","$34,894","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"256",,"256","256","100"
"=TEXT(658,""000"")","CLARKSVILLE WATER TANK","7","250","1425","0","0",,,,"1954","1984",,"$356,246","$0","1994","73","0.73","$260,060","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"250",,"250","250","100"
"=TEXT(660,""000"")","CLARKSVILLE OFFICE","7","2,630","446","1,475","56",,,,"1959","1991",,"$1,173,241","$0","1994","50","0.5","$586,621","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1474.95",,"1474.95",,,"1474.95","1,475",,"534.43","304.12",,"838.55","2313.5","88"
"=TEXT(663,""000"")","CLARKSVILLE EQUINE OFFICE & BARN","7","9,313","217","5,764","62",,,,"1961",,,"$2,019,483","$0","1994","73","0.73","$1,474,223","$0","UM","1",,,,,"309.11",,,,,,,,,,,"5455.22",,,,,,,,,,,,,,,,,,,,,,,,"5764.33","5,764",,,"59.67",,"59.67","5824","63"
"=TEXT(665,""000"")","CLARKSVILLE COTTAGE 9","7","1,612","260","1,370","85",,,,"1963",,,"$419,466","$0","1994","73","0.73","$306,210","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1370",,,,,,"1370","1,370",,,,,,"1370","85"
"=TEXT(667,""000"")","CENTRAL MD OFFICE","7","3,906","446","2,137","55",,,,"1974","1991",,"$1,742,545","$0","1994","50","0.5","$871,273","$0","UM","1",,,,"82.67","2054.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2136.9","2,137","44.17","775.21","387.93",,"1207.31","3344.21","86"
"=TEXT(668,""000"")","CENTRAL MD OFFICE ANNEX","7","2,344","446","1,785","76",,,,"1989",,,"$1,045,764","$0","1994","73","0.73","$763,408","$0","UM","1",,,,,"1785.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1785.31","1,785",,"146.18","173.21",,"319.39","2104.7","90"
"=TEXT(669,""000"")","CLARKSVILLE PUMP HOUSE 4","7","96","273","0","0",,,,"1990",,,"$26,170","$0","1994","73","0.73","$19,104","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"96",,"96","96","100"
"=TEXT(670,""000"")","CLARKSVILLE PUMP HOUSE 6","7","108","273","0","0",,,,"1998",,,"$29,441","$0","1994","25","0.25","$7,360","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"108",,"108","108","100"
"=TEXT(672,""000"")","BELTSVILLE OFFICE TRAILER","7","653","446","567","87",,,,"1987",,,"$291,292","$0","1994","73","0.73","$212,643","$0","UM","1",,,,,"567.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"567.28","567",,,,,,"567.28","87"
"=TEXT(673,""000"")","BELTSVILLE RVR","7","288","112","288","100",,,,"1987",,,"$32,118","$0","1994","73","0.73","$23,446","$0","UM","1",,,,,,,,,,,,,,,"288",,,,,,,,,,,,,,,,,,,,,,,,,"288","288",,,,,,"288","100"
"=TEXT(674,""000"")","BELTSVILLE AG CHEMICAL STORAGE","7","1,440","112","1,362","95",,,,"1987",,,"$160,590","$0","1994","73","0.73","$117,230","$0","UM","1",,,,"265.43",,,,,,,,,,,,,,,,,,,,,,,,"1096.66",,,,,,,,,,,,"1362.09","1,362",,,,,,"1362.09","95"
"=TEXT(675,""000"")","BELTSVILLE EQUIP MAINTENANCE","7","4,515","322","4,275","95",,,,"1987",,,"$1,454,600","$0","1994","73","0.73","$1,061,858","$0","UM","1",,,,,"228.83",,,,,,,,,,,,,,,,,,,,,,"1900.7",,"2145.72",,,,,,,,,,,"4275.25","4,275",,,,,,"4275.25","95"
"=TEXT(676,""000"")","BELTSVILLE EQUIPMENT STORAGE","7","2,901","112","2,664","92",,,,"1987",,,"$323,521","$0","1994","73","0.73","$236,171","$0","UM","1",,,,"723.51",,,,,,,,,,,"1940.04",,,,,,,,,,,,,,,,,,,,,,,,,"2663.55","2,664",,,,,,"2663.55","92"
"=TEXT(677,""000"")","BELTSVILLE SEED & FERTILIZER","7","3,200","112","3,120","98",,,,"1987",,,"$356,866","$0","1994","73","0.73","$260,512","$0","UM","1",,,,,,,,,,,,,,,"3120.44",,,,,,,,,,,,,,,,,,,,,,,,,"3120.44","3,120",,,,,,"3120.44","98"
"=TEXT(678,""000"")","BELTSVILLE GRAIN HANDLING","7","4,495","112","4,233","94",,,,"1986","1997",,"$501,285","$0","1994","25","0.25","$125,321","$0","UM","1",,,,,,,,,,,,,,,"4233.01",,,,,,,,,,,,,,,,,,,,,,,,,"4233.01","4,233",,,,,,"4233.01","94"
"=TEXT(679,""000"")","BELTSVILLE PLOT EQUIPMENT STORAGE","7","4,600","112","4,400","96",,,,"1987",,,"$512,995","$0","1994","73","0.73","$374,486","$0","UM","1",,,,"563.38",,,,,,,,,,,,,,,,,,,,,,,,"2232.83","1603.33",,,,,,,,,,,"4399.54","4,400",,,,,,"4399.54","96"
"=TEXT(680,""000"")","BELTSVILLE SMALL EQUIPMENT STORAGE","7","1,156","112","1,140","99",,,,"1990",,,"$128,918","$0","1994","73","0.73","$94,110","$0","UM","1",,,,,,,,,,,,,,,"1140.03",,,,,,,,,,,,,,,,,,,,,,,,,"1140.03","1,140",,,,,,"1140.03","99"
"=TEXT(681,""000"")","BELTSVILLE LARGE EQUIPMENT STORAGE","7","5,006","112","4,981","100",,,,"2020",,,"$558,272","$0","1994","0","0","$0","$0","UM","1",,,,,,,,,,,,,,,"4981.26",,,,,,,,,,,,,,,,,,,,,,,,,"4981.26","4,981",,,,,,"4981.26","100"
"=TEXT(698,""000"")","UPPER MARLBORO COMPOST","7","448","112","448","100",,,,"1997",,,"$49,961","$0","1994","25","0.25","$12,490","$0","UM","1",,,,,,,,,,,,,,,"448",,,,,,,,,,,,,,,,,,,,,,,,,"448","448",,,,,,"448","100"
"=TEXT(710,""000"")","WYE ASPEN BARN (OUTLEASED)","7","4,901","217","4,901","100",,,,"1938",,,"$1,062,760","$0","1994","73","0.73","$775,815","$0","UM","1",,,,,,,,,,,,,,,"4901",,,,,,,,,,,,,,,,,,,,,,,,,"4901","4,901",,,,,,"4901","100"
"=TEXT(711,""000"")","WYE ASPEN HOUSE (OUTLEASED)","7","480","260","480","100",,,,"1903",,,"$124,903","$0","1994","73","0.73","$91,179","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480",,,,,,"480","480",,,,,,"480","100"
"=TEXT(712,""000"")","WYE WATER QUALITY LAB","7","583","446","516","88",,,,"1985",,,"$260,066","$0","1994","73","0.73","$189,848","$0","UM","1",,,,,"516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"516","516",,,,,,"516","88"
"=TEXT(713,""000"")","WYE BAYWATER PUMPHOUSE","7","225","112","225","100",,,,"1991",,,"$25,092","$0","1994","50","0.5","$12,546","$0","UM","1",,,,,,,,,,,,,,,,"225",,,,,,,,,,,,,,,,,,,,,,,,"225","225",,,,,,"225","100"
"=TEXT(714,""000"")","WYE AG CHEMICAL STORAGE","7","2,800","112","2,594","93",,,,"1996",,,"$312,258","$0","1994","25","0.25","$78,064","$0","UM","1",,,,,,,,,,,,,,,"759.5",,,,,,,,,,,,,"1834.36",,,,,,,,,,,,"2593.86","2,594",,,"32.11",,"32.11","2625.97","94"
"=TEXT(722,""000"")","WESTERN MD STORAGE","7","5,340","273","4,987","93",,,,"1952","1990",,"$1,455,767","$0","1994","73","0.73","$1,062,710","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4987.42",,,,,,,,,,,,"4987.42","4,987",,,,,,"4987.42","93"
"=TEXT(723,""000"")","WESTERN MD SUPPORT","7","7,232","273","5,352","74",,,,"1952","1990",,"$1,971,486","$0","1994","73","0.73","$1,439,185","$0","UM","1",,,,"2881.24","765.15",,,,,,,,,,,,,,,,,,,,,,"1705.8",,,,,,,,,,,,,"5352.19","5,352","36.2","599.84","521.71",,"1157.75","6509.94","90"
"=TEXT(724,""000"")","WESTERN MD OFFICE","7","14,901","446","8,538","57",,,,"1957","2000",,"$6,647,074","$0","1994","25","0.25","$1,661,769","$0","UM","1",,,,,"5313.88",,,,,,,,,,,,,,,,,,,,"3048.67",,,"175.86",,,,,,,,,,,,"8538.41","8,538","65.19","1989.03","1189.14",,"3243.36","11781.77","79"
"=TEXT(725,""000"")","WESTERN MD WATER TANK","7","250","1425","0","0",,,,"1952","1984",,"$356,246","$0","1994","73","0.73","$260,060","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"250",,"250","250","100"
"=TEXT(726,""000"")","WESTERN MD PUMP HOUSE","7","143","273","0","0",,,,"1952",,,"$38,983","$0","1994","73","0.73","$28,457","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"143",,"143","143","100"
"=TEXT(727,""000"")","WESTERN MD EQUIPMENT STORAGE","7","5,260","112","5,172","98",,,,"1990",,,"$586,598","$0","1994","73","0.73","$428,217","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1353.98",,"3818.28",,,,,,,,,,,"5172.26","5,172",,,,,,"5172.26","98"
"=TEXT(728,""000"")","WESTERN MD AG CHEMICAL STORAGE","7","1,200","112","1,200","100",,,,"1991",,,"$133,825","$0","1994","50","0.5","$66,912","$0","UM","1",,,,,,,,,,,,,,,"1200",,,,,,,,,,,,,,,,,,,,,,,,,"1200","1,200",,,,,,"1200","100"
"=TEXT(729,""000"")","WESTERN MD SEED & FERTILIZER","7","3,200","112","3,160","99",,,,"1990",,,"$356,810","$0","1994","73","0.73","$260,471","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3159.62",,,,,,,,,,,,"3159.62","3,160",,,,,,"3159.62","99"
"=TEXT(730,""000"")","WYE TOXICOLOGY BLDG","7","3,584","112","3,294","92",,,,"1991",,,"$399,690","$0","1994","50","0.5","$199,845","$0","UM","1",,,,"1280.89",,,,,,,,,,,,"2013",,,,,,,,,,,,,,,,,,,,,,,,"3293.89","3,294",,,"54.78",,"54.78","3348.67","93"
"=TEXT(731,""000"")","WYE OFFICE/EQUIP MAINTENANCE","7","8,736","273","8,109","93",,,,"1979",,,"$2,381,485","$0","1994","73","0.73","$1,738,484","$0","UM","1",,,,,"1154.21",,,,,,,,,,,,,,,,,,,,,,"4323.88",,"2630.45",,,,,,,,,,,"8108.54","8,109",,"32.67","186.86",,"219.53","8328.07","95"
"=TEXT(732,""000"")","WYE SEED HANDLING","7","4,000","112","3,957","99",,,,"1985",,,"$446,082","$0","1994","73","0.73","$325,640","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3956.78",,,,,,,,,,,,"3956.78","3,957",,,,,,"3956.78","99"
"=TEXT(734,""000"")","WYE OFFICE ANNEX","7","2,424","446","2,075","86",,,,"1935",,,"$1,081,304","$0","1994","73","0.73","$789,352","$0","UM","1",,,,,"1203.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"871.68","871.68",,,,"2074.94","2,075",,"47.58","119.79",,"167.37","2242.31","93"
"=TEXT(735,""000"")","WYE BARN","7","5,043","112","3,707","74",,,,"1946","1990",,"$562,398","$0","1994","73","0.73","$410,551","$0","UM","1",,,,"905.61",,,,,,,,,,,,,,,,,,,,,,,,"2801.81",,,,,,,,,,,,"3707.42","3,707",,"800.06",,,"800.06","4507.48","89"
"=TEXT(736,""000"")","WYE EQUIPMENT STORAGE 1","7","6,000","112","5,943","99",,,,"1990",,,"$669,124","$0","1994","73","0.73","$488,460","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5943.44",,,,,,,,,,,"5943.44","5,943",,,,,,"5943.44","99"
"=TEXT(737,""000"")","WYE EQUIPMENT STORAGE 2","7","5,120","112","5,064","99",,,,"1990",,,"$570,986","$0","1994","73","0.73","$416,819","$0","UM","1",,,,,,,,,,,,,,,"5064.11",,,,,,,,,,,,,,,,,,,,,,,,,"5064.11","5,064",,,,,,"5064.11","99"
"=TEXT(738,""000"")","WYE RESIDENCE","7","3,825","260","3,825","100",,,,"1880",,,"$995,321","$0","1994","73","0.73","$726,585","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3825",,,,,,"3825","3,825",,,,,,"3825","100"
"=TEXT(739,""000"")","WYE BULL TEST BARN","7","3,120","112","2,887","93",,,,"1997",,,"$347,944","$0","1994","25","0.25","$86,986","$0","UM","1",,,,,,,,,,,,,,,,"2887.11",,,,,,,,,,,,,,,,,,,,,,,,"2887.11","2,887",,,,,,"2887.11","93"
"=TEXT(740,""000"")","WYE BARN 2","7","3,571","112","3,596","101",,,,"1935",,,"$398,240","$0","1994","73","0.73","$290,715","$0","UM","1",,,,,,,,,,,,,,,,"3596.45",,,,,,,,,,,,,,,,,,,,,,,,"3596.45","3,596",,,,,,"3596.45","101"
